spanish,english
noche,night
reales,real
vida,life
pocos,few
norte,north
libro,book
llevar,carry
tomó,took
ciencia,science
comer,eat
habitación,room
amigo,friend
comenzó,began
gusta,idea
peces,fish
montaña,mountain
Deténgase,stop
una vez,once
base de,base
escuchar,hear
caballo,horse
cortada,cut
seguro,sure
ver,watch
colores,color
cara,face
madera,wood
principal,main
abierta,open
parecer,seem
juntos,together
próximo,next
blanco,white
niños,children
comenzar,begin
conseguido,got
caminar,walk
ejemplo,example
aliviar,ease
papel,paper
grupo,group
siempre,always
música,music
los,those
ambos,both
marca,mark
menudo,often
carta,letter
hasta,until
milla,mile
río,river
coche,car
pies,feet
cuidado,care
segundo,second
suficiente,enough
llano,plain
chica,girl
habitual,usual
joven,young
listo,ready
por encima de,above
nunca,ever
rojo,red
lista,list
aunque,though
sentir,feel
charla,talk
pájaro,bird
pronto,soon
cuerpo,body
perro,dog
familia,family
directa,direct
plantear,pose
dejar,leave
canción,song
medir,measure
puerta,door
producto,product
negro,black
corto,short
numeral,numeral
clase,class
viento,wind
pregunta,question
suceder,happen
completo,complete
buque,ship
zona,area
medio,half
roca,rock
orden,order
fuego,fire
sur,south
problema,problem
pieza,piece
dicho,told
sabía,knew
pasar,pass
desde,since
cima,top
todo,whole
rey,king
calle,street
pulgadas,inch
multiplicar,multiply
nada,nothing
curso,course
quedarse,stay
rueda,wheel
completo,full
fuerza,force
azul,blue
objeto,object
decidir,decide
superficie,surface
profunda,deep
luna,moon
isla,island
pie,foot
sistema,system
ocupado,busy
prueba,test
registro,record
barco,boat
común,common
oro,gold
posible,possible
plano,plane
lugar,stead
seco,dry
maravilla,wonder
risa,laugh
mil,thousand
hace,ago
corrió,ran
comprobar,check
juego,game
forma,shape
equiparar,equate
caliente,hot
señorita,miss
traído,brought
calor,heat
nieve,snow
neumáticos,tire
traer,bring
sí,yes
distante,distant
llenar,fill
al este,east
pintar,paint
idioma,language
entre,among
unidad,unit
potencia,power
ciudad,town
fina,fine
cierto,certain
volar,fly
caer,fall
conducir,lead
grito,cry
oscuro,dark
máquina,machine
nota,note
espere,wait
plan de,plan
figura,figure
estrella,star
caja,box
sustantivo,noun
campo,field
resto,rest
correcta,correct
capaz,able
libra,pound
hecho,done
belleza,beauty
unidad,drive
destacado,stood
contener,contain
delante,front
enseñar,teach
semana,week
último,final
dio,gave
verde,green
oh,oh
rápido,quick
desarrollar,develop
océano,ocean
caliente,warm
libre,free
minuto,minute
fuerte,strong
especial,special
mente,mind
detrás,behind
claro,clear
cola,tail
Produce,produce
hecho,fact
espacio,space
oído,heard
mejor,best
horas,hour
mejor,better
verdadero,TRUE
durante,during
cien,hundred
cinco,five
recordar,remember
paso,step
temprana,early
mantenga,hold
oeste,west
suelo,ground
interés,interest
llegar,reach
rápido,fast
verbo,verb
cantar,sing
escuchar,listen
seis,six
mesa,table
viajes,travel
menos,less
mañana,morning
diez,ten
sencilla,simple
varios,several
vocal,vowel
hacia,toward
guerra,war
sentar,lay
contra,against
patrón,pattern
lenta,slow
centro,center
amar,love
persona,person
dinero,money
servir,serve
aparecerá,appear
carretera,road
mapa,map
lluvia,rain
regla,rule
gobernar,govern
Halar,pull
frío,cold
aviso,notice
voz,voice
